,highway,direction,segment_index,accidents,ps,lcv,hv,mc,angle,startwidth,endwidth,startlanes,endlanes,geom
101,D1_2,+,101,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466018072662614 49.37981170007322,17.466048706497762 49.37972403799963)"
102,D1_2,+,102,0,6270,904,1862,17,0.468076530464051,7.5,7.5,2,2,"LINESTRING(17.466048706497762 49.37972403799963,17.466057237071638 49.3796996267743,17.46607824196465 49.37963621658014)"
103,D1_2,+,103,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46607824196465 49.37963621658014,17.466107353464835 49.37954833365813)"
104,D1_2,+,104,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466107353464835 49.37954833365813,17.466136464866622 49.37946045072918)"
105,D1_2,+,105,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466136464866622 49.37946045072918,17.466165576170024 49.37937256779331)"
106,D1_2,+,106,0,6270,904,1862,17,0.4796277502099479,7.5,7.5,2,2,"LINESTRING(17.466165576170024 49.37937256779331,17.46617241486952 49.37935192267604,17.466193559300592 49.37928452977017)"
107,D1_2,+,107,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466193559300592 49.37928452977017,17.466221195966302 49.379196444123835)"
108,D1_2,+,108,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.466221195966302 49.379196444123835,17.46624883253871 49.37910835847121)"
109,D1_2,+,109,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46624883253871 49.37910835847121,17.46627646901782 49.379020272812305)"
110,D1_2,+,110,0,6270,904,1862,17,0.0,7.5,7.5,2,2,"LINESTRING(17.46627646901782 49.379020272812305,17.46630410540363 49.37893218714713)"
111,D1_2,+,111,0,6270,904,1862,17,0.5318218406397031,7.5,7.5,2,2,"LINESTRING(17.46630410540363 49.37893218714713,17.466313800401842 49.37890128613277,17.46633048765503 49.37884393984074)"
