,highway,direction,segment_index,accidents,ps,lcv,hv,mc,angle,startwidth,endwidth,startlanes,endlanes,geom
12,D1_3,+,12,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.40552927385759 49.93564668599983,18.405418036086097 49.93559262411044)"
13,D1_3,+,13,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.405418036086097 49.93559262411044,18.40530679856157 49.93553856210862)"
14,D1_3,+,14,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.40530679856157 49.93553856210862,18.40519556128401 49.93548449999437)"
15,D1_3,+,15,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.40519556128401 49.93548449999437,18.405084324253416 49.935430437767664)"
16,D1_3,+,16,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.405084324253416 49.935430437767664,18.404973087469784 49.93537637542854)"
17,D1_3,+,17,0,4575,580,2687,67,-0.2065810995906645,7.5,7.5,2,2,"LINESTRING(18.404973087469784 49.93537637542854,18.404916547958326 49.93534889649528,18.404862154397502 49.93532205482679)"
18,D1_3,+,18,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.404862154397502 49.93532205482679,18.404751535259365 49.935267467267686)"
19,D1_3,+,19,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.404751535259365 49.935267467267686,18.40464091636933 49.93521287959732)"
20,D1_3,+,20,0,4575,580,2687,67,0.5812770259707308,7.5,7.5,2,2,"LINESTRING(18.40464091636933 49.93521287959732,18.40462924837731 49.935207121719884,18.40452944610004 49.935159019294886)"
21,D1_3,+,21,0,4575,580,2687,67,-0.07183929334570394,7.5,7.5,2,2,"LINESTRING(18.40452944610004 49.935159019294886,18.404434745700698 49.93511337568738,18.40441798069601 49.93510515464916)"
22,D1_3,+,22,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.40441798069601 49.93510515464916,18.40430710518479 49.93505078460377)"
23,D1_3,+,23,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.40430710518479 49.93505078460377,18.40419622992121 49.93499641444666)"
24,D1_3,+,24,0,4575,580,2687,67,-0.04527768693742473,7.5,7.5,2,2,"LINESTRING(18.40419622992121 49.93499641444666,18.404092123147 49.93494536315689,18.404085422038957 49.934941987902576)"
25,D1_3,+,25,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.404085422038957 49.934941987902576,18.4039756470316 49.93488669564283)"
26,D1_3,+,26,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.4039756470316 49.93488669564283,18.4038658722738 49.93483140327341)"
27,D1_3,+,27,0,4575,580,2687,67,0.38690287996680217,7.5,7.5,2,2,"LINESTRING(18.4038658722738 49.93483140327341,18.403830723442653 49.93481369913396,18.40375552299037 49.93477659110168)"
28,D1_3,+,28,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.40375552299037 49.93477659110168,18.403644903235406 49.934722005044364)"
29,D1_3,+,29,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.403644903235406 49.934722005044364,18.403534283728536 49.93466741887576)"
30,D1_3,+,30,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.403534283728536 49.93466741887576,18.403423664469763 49.93461283259588)"
31,D1_3,+,31,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.403423664469763 49.93461283259588,18.403313045459086 49.934558246204745)"
32,D1_3,+,32,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.403313045459086 49.934558246204745,18.403202426696502 49.93450365970231)"
33,D1_3,+,33,0,4575,580,2687,67,-0.9068621762143039,7.5,7.5,2,2,"LINESTRING(18.403202426696502 49.93450365970231,18.40319630582006 49.93450063925638,18.40309316133569 49.934447950284394)"
34,D1_3,+,34,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.40309316133569 49.934447950284394,18.402983975485256 49.934392174990364)"
35,D1_3,+,35,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.402983975485256 49.934392174990364,18.402874789885328 49.93433639958772)"
36,D1_3,+,36,0,4575,580,2687,67,-0.04279586272366487,7.5,7.5,2,2,"LINESTRING(18.402874789885328 49.93433639958772,18.402824106848037 49.93431050903447,18.402765669136105 49.934280571465706)"
37,D1_3,+,37,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.402765669136105 49.934280571465706,18.402656604603358 49.93422469765634)"
38,D1_3,+,38,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.402656604603358 49.93422469765634,18.4025475403213 49.93416882373858)"
39,D1_3,+,39,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.4025475403213 49.93416882373858,18.402438476289927 49.93411294971244)"
40,D1_3,+,40,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.402438476289927 49.93411294971244,18.402329412509246 49.93405707557788)"
41,D1_3,+,41,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.402329412509246 49.93405707557788,18.40222034897925 49.93400120133496)"
42,D1_3,+,42,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.40222034897925 49.93400120133496,18.402111285699938 49.93394532698362)"
43,D1_3,+,43,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.402111285699938 49.93394532698362,18.40200222267131 49.9338894525239)"
44,D1_3,+,44,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.40200222267131 49.9338894525239,18.401893159893373 49.933833577955774)"
45,D1_3,+,45,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.401893159893373 49.933833577955774,18.401784097366114 49.93377770327928)"
46,D1_3,+,46,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.401784097366114 49.93377770327928,18.40167503508954 49.93372182849439)"
47,D1_3,+,47,0,4575,580,2687,67,0.0,7.5,7.5,2,2,"LINESTRING(18.40167503508954 49.93372182849439,18.40156597306365 49.93366595360111)"
48,D1_3,+,48,0,4575,580,2687,67,-0.05094269900820336,7.5,7.5,2,2,"LINESTRING(18.40156597306365 49.93366595360111,18.401472975022756 49.93361830845634,18.401456988547086 49.93361001615897)"
