,highway,direction,segment_index,accidents,ps,lcv,hv,mc,angle,startwidth,endwidth,startlanes,endlanes,geom
36,D1_4,-,36,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.435345564779823 49.47441162692942,17.435455149773507 49.47446626451378)"
37,D1_4,-,37,0,2949,481,868,12,0.6367394270269885,7.4,7.4,2,2,"LINESTRING(17.435455149773507 49.47446626451378,17.435509052964584 49.4744931398262,17.435565653421822 49.47452010182401)"
38,D1_4,-,38,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.435565653421822 49.47452010182401,17.43567704638303 49.47457316441936)"
39,D1_4,-,39,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43567704638303 49.47457316441936,17.43578843958328 49.474626226903204)"
40,D1_4,-,40,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43578843958328 49.474626226903204,17.43589983302258 49.47467928927554)"
41,D1_4,-,41,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43589983302258 49.47467928927554,17.436011226700927 49.47473235153636)"
42,D1_4,-,42,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.436011226700927 49.47473235153636,17.436122620618317 49.47478541368567)"
43,D1_4,-,43,0,2949,481,868,12,0.5245232152987332,7.4,7.4,2,2,"LINESTRING(17.436122620618317 49.47478541368567,17.43617614948397 49.474810911915704,17.436234751209007 49.47483780696044)"
44,D1_4,-,44,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.436234751209007 49.47483780696044,17.436347563283018 49.47488958147506)"
45,D1_4,-,45,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.436347563283018 49.47488958147506,17.436460375593022 49.47494135587548)"
46,D1_4,-,46,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.436460375593022 49.47494135587548,17.436573188139025 49.474993130161714)"
47,D1_4,-,47,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.436573188139025 49.474993130161714,17.436686000921025 49.47504490433375)"
48,D1_4,-,48,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.436686000921025 49.47504490433375,17.43679881393902 49.475096678391566)"
49,D1_4,-,49,1,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43679881393902 49.475096678391566,17.43691162719301 49.47514845233521)"
50,D1_4,-,50,0,2949,481,868,12,0.022618513772574254,7.4,7.4,2,2,"LINESTRING(17.43691162719301 49.47514845233521,17.43701313473392 49.475195037501926,17.4370244719608 49.47520019710413)"
51,D1_4,-,51,0,2949,481,868,12,0.3131358361825177,7.4,7.4,2,2,"LINESTRING(17.4370244719608 49.47520019710413,17.437079392888148 49.47522519173315,17.437135147646845 49.47525000201455,17.437138026283847 49.47525127648098)"
52,D1_4,-,52,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.437138026283847 49.47525127648098,17.43725215989297 49.47530180703766)"
53,D1_4,-,53,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43725215989297 49.47530180703766,17.43736629373491 49.47535233747759)"
54,D1_4,-,54,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43736629373491 49.47535233747759,17.437480427809657 49.47540286780082)"
55,D1_4,-,55,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.437480427809657 49.47540286780082,17.43759456211722 49.475453398007296)"
56,D1_4,-,56,0,2949,481,868,12,0.14219823946343327,7.4,7.4,2,2,"LINESTRING(17.43759456211722 49.475453398007296,17.437682039398027 49.4754921263106,17.437708887603787 49.47550374285273)"
57,D1_4,-,57,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.437708887603787 49.47550374285273,17.43782383992303 49.47555347969024)"
58,D1_4,-,58,0,2949,481,868,12,0.6711424497286465,7.4,7.4,2,2,"LINESTRING(17.43782383992303 49.47555347969024,17.43783604749006 49.4755587615698,17.43793967769684 49.475602335202296)"
59,D1_4,-,59,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.43793967769684 49.475602335202296,17.438055620875982 49.47565108589417)"
60,D1_4,-,60,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.438055620875982 49.47565108589417,17.438171564283 49.47569983646583)"
61,D1_4,-,61,0,2949,481,868,12,0.0,7.4,7.4,2,2,"LINESTRING(17.438171564283 49.47569983646583,17.43828750791788 49.47574858691724)"
